ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;DOTTORI
2024;01801;Pavia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;F;5
2024;01801;Pavia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;F;12
2024;01801;Pavia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;7;Engineering, manufacturing and construction;M;27
2024;01801;Pavia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;M;7
2024;01801;Pavia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;7;Engineering, manufacturing and construction;F;13
2024;01801;Pavia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;F;6
2024;01801;Pavia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;8;Agriculture, forestry, fisheries and veterinary;M;2
2024;01801;Pavia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;F;6
2024;01801;Pavia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;M;11
2024;01801;Pavia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;8;Agriculture, forestry, fisheries and veterinary;F;1
2024;01801;Pavia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;M;10
2024;01801;Pavia - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;F;53
2024;01802;Pavia - Istituto universitario di studi superiori;Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;F;3
2024;01802;Pavia - Istituto universitario di studi superiori;Lombardia;NORD-OVEST;Dottorato di ricerca;7;Engineering, manufacturing and construction;F;3
2024;01802;Pavia - Istituto universitario di studi superiori;Lombardia;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;F;1
2024;01802;Pavia - Istituto universitario di studi superiori;Lombardia;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;M;2
2024;01802;Pavia - Istituto universitario di studi superiori;Lombardia;NORD-OVEST;Dottorato di ricerca;7;Engineering, manufacturing and construction;M;4
2024;01802;Pavia - Istituto universitario di studi superiori;Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;M;3
